id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,product_type,visibility,status,additional_image_link
chopin-nocturne-op37-1,Nocturne Op 37 No. 1 (Guitar Version),Sheet music by Frederic Chopin. Nocturne Op 37 No. 1 (Guitar Version). Difficulty: Advanced. Category: romantic classical.,in stock,new,5.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1375003/Product.aspx,https://brianstreckfus.com/previews/Chopin_Nocturne_Op37_No1-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
landslide-arr-brian-streckfus,Landslide (arr. Brian Streckfus),Sheet music by Stevie Nicks. Landslide (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1853288/Product.aspx,https://brianstreckfus.com/img/previews/Landslide_Fleetwood_Mac.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
run-rudolph-run-arr-brian-streckfus,Run Rudolph Run (arr. Brian Streckfus),"Sheet music by Johnny Marks, Marvin Brodie. Run Rudolph Run (arr. Brian Streckfus). Difficulty: Intermediate. Category: holiday.",in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1852711/Product.aspx,https://brianstreckfus.com/previews/Run Rudolph Run-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
time-in-a-bottle-arr-brian-streckfus,Time in a Bottle (arr. Brian Streckfus),Sheet music by Jim Croce. Time in a Bottle (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1852711/Product.aspx,https://brianstreckfus.com/img/previews/Time_in_a_Bottle_Lead_sheet_with_lyrics.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
happy-birthday-arr-brian-streckfus,Happy Birthday (arr. Brian Streckfus),"Sheet music by Patty Hill, Mildred J. Hill. Happy Birthday (arr. Brian Streckfus). Difficulty: Beginner. Category: holiday.",in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1842198/Product.aspx,https://brianstreckfus.com/img/previews/Happy_Birthday.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
fly-me-to-the-moon-arr-brian-streckfus,Fly Me To The Moon (arr. Brian Streckfus),Sheet music by Bart Howard. Fly Me To The Moon (arr. Brian Streckfus). Difficulty: Intermediate. Category: jazz.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1834727/Product.aspx,https://brianstreckfus.com/img/previews/Fly_Me_To_The_Moon.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
how-insensitive-arr-brian-streckfus,How Insensitive (arr. Brian Streckfus),Sheet music by Antonio Carlos Jobim. How Insensitive (arr. Brian Streckfus). Difficulty: Intermediate. Category: jazz latin.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1812727/Product.aspx,https://brianstreckfus.com/img/previews/How_Insensitive.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
chord-exercises-1,Chord Exercises 1,Sheet music by Brian Streckfus. Chord Exercises 1. Difficulty: Intermediate. Category: theory.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1809229/Product.aspx,https://brianstreckfus.com/img/previews/Chord_Exercises_1.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
chord-exercises-2,Chord Exercises 2,Sheet music by Brian Streckfus. Chord Exercises 2. Difficulty: Intermediate. Category: theory.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1809051/Product.aspx,https://brianstreckfus.com/img/previews/Chord_Exercises_2.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
chord-exercises-3,Chord Exercises 3,Sheet music by Brian Streckfus. Chord Exercises 3. Difficulty: Intermediate. Category: theory.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1791448/Product.aspx,https://brianstreckfus.com/img/previews/Chord_Exercises_3.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
you-are-my-sunshine-arr-brian-streckfus,You Are My Sunshine (arr. Brian Streckfus),"Sheet music by Jimmie Davis, Charles Mitchell. You Are My Sunshine (arr. Brian Streckfus). Difficulty: Beginner. Category: traditional.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1784499/Product.aspx,https://brianstreckfus.com/img/previews/You_Are_My_Sunshine.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
do-re-mi-arr-brian-streckfus,Do-Re-Mi (arr. Brian Streckfus),"Sheet music by Richard Rodgers, Oscar Hammerstein II. Do-Re-Mi (arr. Brian Streckfus). Difficulty: Beginner. Category: film-score.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1778969/Product.aspx,https://brianstreckfus.com/img/previews/Do_Re_Mi.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
katyusha-arr-brian-streckfus,Katyusha (arr. Brian Streckfus),"Sheet music by Matvei Blanter, Mikhail Isakovsky. Katyusha (arr. Brian Streckfus). Difficulty: Intermediate. Category: folk world.",in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1778584/Product.aspx,https://brianstreckfus.com/img/previews/Katyusha.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
sakura-sakura-arr-brian-streckfus,Sakura Sakura (arr. Brian Streckfus),Sheet music by Traditional Japanese Folk. Sakura Sakura (arr. Brian Streckfus). Difficulty: Intermediate. Category: folk world.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1777788/Product.aspx,https://brianstreckfus.com/img/previews/Sakura_Sakura.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
thats-alright-arr-brian-streckfus,That's All Right (arr. Brian Streckfus),Sheet music by Arthur Crudup. That's All Right (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular rock.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1762791/Product.aspx,https://brianstreckfus.com/img/previews/Thats_All_Right.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
prelude-no-2-arr-brian-streckfus,Prelude No. 2 (arr. Brian Streckfus),Sheet music by Heitor Villa-Lobos. Prelude No. 2 (arr. Brian Streckfus). Difficulty: Advanced. Category: classical.,in stock,new,5.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1756138/Product.aspx,https://brianstreckfus.com/img/previews/Prelude_No_2.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
hey-ya-arr-brian-streckfus,Hey Ya! (arr. Brian Streckfus),Sheet music by Andre 3000. Hey Ya! (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1755652/Product.aspx,https://brianstreckfus.com/img/previews/Hey_Ya.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
seven-greek-modes-arr-brian-streckfus,The 7 Greek Modes (arr. Brian Streckfus),Sheet music by Brian Streckfus. The 7 Greek Modes (arr. Brian Streckfus). Difficulty: Intermediate. Category: theory.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1738129/Product.aspx,https://brianstreckfus.com/img/previews/7_Greek_Modes.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
study-no-13-modes-of-d-major-arr-brian-streckfus,Study No. 13 - Modes of D Major (arr. Brian Streckfus),Sheet music by Brian Streckfus. Study No. 13 - Modes of D Major (arr. Brian Streckfus). Difficulty: Intermediate. Category: theory.,in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1738128/Product.aspx,https://brianstreckfus.com/img/previews/Study_No_13_Modes_of_D_Major.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
samba-pa-ti-arr-brian-streckfus,Samba Pa Ti (arr. Brian Streckfus),Sheet music by Carlos Santana. Samba Pa Ti (arr. Brian Streckfus). Difficulty: Intermediate. Category: jazz latin.,in stock,new,5.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1730446/Product.aspx,https://brianstreckfus.com/img/previews/Samba_Pa_Ti.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
solamente-una-vez-arr-brian-streckfus,Solamente Una Vez (arr. Brian Streckfus),Sheet music by Agustin Lara. Solamente Una Vez (arr. Brian Streckfus). Difficulty: Intermediate. Category: jazz latin.,in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1730445/Product.aspx,https://brianstreckfus.com/img/previews/Solamente_Una_Vez.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
deutschland-arr-brian-streckfus,Deutschland (arr. Brian Streckfus),Sheet music by Traditional German. Deutschland (arr. Brian Streckfus). Difficulty: Intermediate. Category: classical.,in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1730167/Product.aspx,https://brianstreckfus.com/img/previews/Prelude No 2 - Brian Streckfus-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
smells-like-teen-spirit-arr-brian-streckfus,Smells Like Teen Spirit (arr. Brian Streckfus),"Sheet music by Kurt Cobain, Krist Novoselic, Dave Grohl. Smells Like Teen Spirit (arr. Brian Streckfus). Difficulty: Advanced. Category: popular rock.",in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1727232/Product.aspx,https://brianstreckfus.com/img/previews/Smells_Like_Teen_Spirit.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
yesterday-arr-brian-streckfus,Yesterday (arr. Brian Streckfus),"Sheet music by John Lennon, Paul McCartney. Yesterday (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1726705/Product.aspx,https://brianstreckfus.com/img/previews/Yesterday.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
chega-de-saudade-arr-brian-streckfus,Chega De Saudade (arr. Brian Streckfus),"Sheet music by Antonio Carlos Jobim, Vinicius de Moraes. Chega De Saudade (arr. Brian Streckfus). Difficulty: Intermediate. Category: jazz latin.",in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1717270/Product.aspx,https://brianstreckfus.com/img/previews/Chega_De_Saudade.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
wonderwall-arr-brian-streckfus,Wonderwall (arr. Brian Streckfus),Sheet music by Noel Gallagher. Wonderwall (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1707583/Product.aspx,https://brianstreckfus.com/img/previews/Wonderwall.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
somewhere-over-the-rainbow-ukulele-arr-brian-streckfus,Somewhere Over the Rainbow (Ukulele) (arr. Brian Streckfus),"Sheet music by Harold Arlen, E.Y. Harburg. Somewhere Over the Rainbow (Ukulele) (arr. Brian Streckfus). Difficulty: Beginner. Category: popular film-score.",in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1707386/Product.aspx,https://brianstreckfus.com/img/previews/Somewhere_Over_The_Rainbow_Ukulele.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
say-it-aint-so-arr-brian-streckfus,Say It Ain't So (arr. Brian Streckfus),Sheet music by Rivers Cuomo. Say It Ain't So (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular rock.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1703856/Product.aspx,https://brianstreckfus.com/img/previews/Say_It_Aint_So.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
dont-speak-arr-brian-streckfus,Don't Speak (arr. Brian Streckfus),"Sheet music by Gwen Stefani, Eric Stefani. Don't Speak (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.",in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1703491/Product.aspx,https://brianstreckfus.com/img/previews/Dont_Speak.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
